Country,Year,Emissions,GDP_per_capita,Renewable_Share,Energy_per_capita,Population,Emissions_per_GDP,Emissions_per_capita,Global_Temperature
Indonesia,2016,902.77140476386,10335.112,5.6316724,7243.88,264627418.0,0.30137653888936,3.4573709084651,1.0133
Indonesia,2017,957.37305784606,10932.638,5.4710994,7439.3833,267346658.0,0.30418304344042,3.6265367298357,0.92
Indonesia,2018,1055.3390194771,11621.366,7.7867928,8056.51,269951846.0,0.31881313055306,3.9556179785584,0.8475
Indonesia,2019,1108.7776968634,12236.943,8.279649,8530.325,272489381.0,0.3189478047137,4.1136460958311,0.9758
Indonesia,2020,1050.3391537597,11929.526,10.217818,7959.1304,274814866.0,0.3085098488286,3.8583778884173,1.0092
Indonesia,2021,1077.0778380344,12947.903,10.79372,8087.7715,276758053.0,0.30506734794009,3.9187271716418,0.8483
Indonesia,2022,1152.7260121441,14446.108,9.899512,10132.153,278830529.0,0.3100385948998,4.1550906087918,0.8933
Indonesia,2023,1200.1997867973,15553.573,10.446613,10116.714,281190067.0,0.30729464076921,4.2874384204751,1.1692
Iran,1970,220.71084596192,,4.4152985,5836.307,,,,0.0258
Iran,1971,226.30046495117,,4.3325543,6213.1084,,,,-0.0808
Iran,1972,249.44939851432,,5.018947,6848.4463,,,,0.0083
Iran,1973,289.42124350854,,3.5577044,7955.319,,,,0.16
Iran,1974,301.59054427632,,3.4556205,8761.964,,,,-0.0708
Iran,1975,288.00544900502,,3.1140482,9911.1,,,,-0.0133
Iran,1976,320.94086706505,,3.0952492,10829.121,,,,-0.0992
Iran,1977,322.68968379257,,2.8250146,11897.395,,,,0.1775
Iran,1978,309.2917659872,,4.5260034,11270.636,,,,0.0683
Iran,1979,250.61944170887,,3.6342711,11771.765,,,,0.1658
Iran,1980,189.38569837038,4241.316,4.064726,10541.231,39842324.0,,,0.2558
Iran,1981,185.00362775299,4213.506,4.4219165,10068.537,41989312.0,,,0.3225
Iran,1982,231.3840489533,5303.459,4.111237,10822.304,44272141.0,,,0.1367
Iran,1983,255.67683525118,5891.988,3.3884645,12403.508,46029535.0,,,0.3117
Iran,1984,248.53989619164,5455.761,2.9317567,12934.148,47793998.0,,,0.155
Iran,1985,262.53204556148,5517.856,2.7088299,13623.729,49582289.0,,,0.1158
Iran,1986,247.48567303949,4887.339,3.4556096,12333.542,51446045.0,,,0.18
Iran,1987,264.07874162493,4879.726,3.5734787,12796.608,53323493.0,,,0.3192
Iran,1988,265.86393247963,4630.584,3.6968005,12656.989,55072694.0,,,0.3858
Iran,1989,295.56578655434,4984.536,2.7610445,13439.815,56704914.0,,,0.2717
Iran,1990,332.71568607946,5732.984,2.6902497,14540.782,58380092.0,0.62997576232243,5.9174492688365,0.445
Iran,1991,377.44211068255,6520.128,1.8835832,15178.739,59986931.0,0.63403725362826,6.5784429388547,0.4033
Iran,1992,401.45336520961,6789.073,2.7959177,16395.33,61184983.0,0.65284140344641,6.8906375173935,0.22
Iran,1993,399.85356093343,6748.638,3.4577887,15073.914,61403543.0,0.65994771662894,6.7781899831403,0.23
Iran,1994,438.84224100075,6677.772,2.021462,16816.41,61520598.0,0.73681065395658,7.347702071671,0.3133
Iran,1995,439.54303415171,6880.493,2.326306,17401.883,62205567.0,0.72068334864247,7.2561069828728,0.4442
Iran,1996,457.85348037509,7343.717,2.2645998,18683.662,62881300.0,0.70587851532313,7.4347260916564,0.3283
Iran,1997,471.38178821147,7454.671,1.4810697,18984.059,63639638.0,0.71705221117341,7.5167800692621,0.4633
Iran,1998,456.52475735075,7589.742,1.7921339,19468.623,64519859.0,0.68030177266263,7.14429531727,0.605
Iran,1999,482.39173794188,7767.14,1.1498691,20652.555,65445391.0,0.70473441054001,7.4142594442265,0.38
Iran,2000,512.10240970909,8274.631,0.8082891,21307.21,66418659.0,0.7068217819243,7.7436518489427,0.3917
Iran,2001,517.62058451771,8519.948,0.8181908,22379.375,67452005.0,0.69774685136721,7.7145805813383,0.5325
Iran,2002,533.95770120068,9198.535,1.4433478,24156.205,68011317.0,0.66596678522634,7.8542480462213,0.6267
Iran,2003,580.98786003858,9939.515,1.6837656,24372.035,68769340.0,0.66699997913421,8.4430324640449,0.6167
Iran,2004,608.62464981897,10488.917,1.8843321,26526.402,70256316.0,0.66968619324458,8.7424591058658,0.5325
Iran,2005,651.4452943625,10994.787,2.1426384,27646.455,71828455.0,0.69464509121655,9.2506197564178,0.675
Iran,2006,698.00231773322,11713.818,2.500738,29747.424,73392747.0,0.70884851219297,9.7995633415167,0.6375
Iran,2007,721.97047800413,12823.953,2.2706358,31167.166,74602648.0,0.67790103817156,10.023038354324,0.6608
Iran,2008,737.41834329886,12970.655,0.9233144,31688.732,75514204.0,0.69067335864954,10.123045943797,0.5433
Iran,2009,758.18933581322,13014.598,0.8159316,32012.967,76457825.0,0.70304530078076,10.289239109609,0.655
Iran,2010,768.06183107188,13755.922,1.1913837,32248.412,77420842.0,0.67316978845795,10.300222363253,0.7233
Iran,2011,776.72852221191,14220.902,1.1921026,33107.25,78383598.0,0.66321883292502,10.288939725902,0.6058
Iran,2012,766.84611752084,13779.996,1.3767738,32998.57,79370580.0,0.6802715663966,10.030215941706,0.6433
